Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Shared Management Policy,Script,,,,,,,,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2 (3),Executable,,,mmc.exe,,Exactly,,,,,,Ignore Signature,,,Microsoft® Windows® Operating System,Exactly,Microsoft Management Console,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2 (3),Executable,,,*.msc,CluAdmin.msc,Wildcards,SHA1,9E7B3FACD0C01ED36A9430440EF48853B06C9847,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2 (3),Admin Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Information Services (IIS) Management,,,,,,,,,,,,,,,,,,,,,,No,
Application Permission Policy for GT SRS-BT Kontrol ve Sürekli İzleme,Executable,,,mmc.exe,,Exactly,,,,,,Ignore Signature,,,Microsoft® Windows® Operating System,Exactly,Microsoft Management Console,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Permission Policy for GT SRS-BT Kontrol ve Sürekli İzleme,Executable,,,*.msc,CluAdmin.msc,Wildcards,SHA1,9E7B3FACD0C01ED36A9430440EF48853B06C9847,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Permission Policy for GT SRS-BT Kontrol ve Sürekli İzleme,Admin Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Information Services (IIS) Management,,,,,,,,,,,,,,,,,,,,,,No,
Shared Management Policy_File Permission,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
Shared Management Policy_File Permission,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
Temporary - IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
Temporary - IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
00710292 CasePolicy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\,dir,Yes,,,,,,,,,,,No,
00710292 CasePolicy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E:\,dir,Yes,,,,,,,,,,,No,
00710292 CasePolicy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c:\Program Files,dir,Yes,,,,,,,,,,,No,
00710292 CasePolicy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\,dir,Yes,,,,,,,,,,,No,
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,Microsoft ATA Gateway Setup.exe,,Exactly,,,,,,Specific Publishers,Microsoft Corporation,Exactly,Microsoft Advanced Threat Analytics Gateway,Exactly,Microsoft Advanced Threat Analytics Gateway,Exactly,Microsoft Corporation,Exactly,1.8.6765.36693,,,1.8.6765.36693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,setup.exe,,Exactly,,,,,,Specific Publishers,Picus Bilisim Guvenlik Ticaret Anonim Sirketi,Exactly,Picus Agent Wizard,Exactly,Picus.Agent.Wizard,Exactly,Picus Security,Exactly,1.1.0.4,,,1.1.0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,autorun.exe,,Exactly,,,,,,Specific Publishers,Quest Software Inc,Exactly,SPARK,Exactly,Software Provisioning and Resource Kit Launcher,Exactly,Quest,Exactly,1.3.0.0,,,1.3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
