Policy Type,Policy Name,Priority,Policy Description,Action,Active,All Computers,Selected Computers/Groups,Excluded Computers/Groups,Selected AD Groups,Excluded AD Groups,Users,Activation Option,Activate On,Deactivate On,Scheduled On Day,Scheduled From,Scheduled To,Apply Policy,Check By,URL,Host/IP,Checked Script Name,Collect Policy Usage,Send Policy Automation Events,End-User UI,Trust All Applications,Executed Script Name,Executed Script Triggers,Access,Application Type,Application Description,Security Token,Security Level
CPrivilegeTheftPolicy,Credential Theft From Active Directory Database (NTDS.DIT),N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Open VPN Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,"Suspicious Request to set  ""Always Install Elevated"" mode",N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,KeePass - Password Manager,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,VMware Workstation Credential Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Azure CLI Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Credential Theft from SolarWinds Orion,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Duo Integration Secrets Dump,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Pass The Ticket Attack,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Credential Theft from WinLogon Automation,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Total Commander Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Putty Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Okta AD Agent Tamper Protection,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Opera Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,DbVisualizer Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Tortoise SVN Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Git Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Composer Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
Advanced Policy,[IMPORTED] Application Policy for servicesterlingfs,140 (Highest),68762490,Trust Source,Yes,No,TGEMAPPDOC01,,,,"User ""EPMtestuser"",gteknoloji\servicesterlingfs",Now,,,,,,Always,,,,,According to General Settings,No,"[IMPORTED] Elevate Trusted,[IMPORTED] Elevate Trusted",Yes,,,,,,,
Advanced Policy,Shared Management Policy,230 (High),78446521,Elevate,Yes,Yes,,,,,"Group ""USR_SRV_GAR_GTAIBulutMiddlewareTeknolojileri"",Group ""USR_SRV_GAR_GTAIDijitalIsYeriMobiliteTeknolojileri"",Group ""USR_SRV_GAR_GTAIIletisimTeknolojileri"",Group ""USR_SRV_GAR_GTAIIsbirligiTeknolojileri"",Group ""USR_SRV_GAR_GTAIUygulamaTeknolojileri"",gteknoloji\USR_SRV_GTEK_GTAIBulutMiddlewareTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIDijitalIsYeriMobiliteTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIletisimTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIsbirligiTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIUygulamaTeknolojileri",Now,,,,,,Always,,,,,According to General Settings,,"[IMPORTED] Elevate Notification (2),[IMPORTED] Elevate Notification (2)",,,,,Script,,Administrator,HIGH
