Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Shared Management Policy,Script,,,,,,,,,,,Ignore Signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy For HazineVeYatirimBankaciligiRezilyansYonetimi,Executable,,,InetMgr.exe,,Exactly,,,,,,Ignore Signature,,,Internet Information Services,Exactly,IIS Manager,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy For HazineVeYatirimBankaciligiRezilyansYonetimi,Executable,,,InetMgr.exe,,Exactly,,,,,,Ignore Signature,,,Internet Information Services,Exactly,IIS Manager,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy For HazineVeYatirimBankaciligiRezilyansYonetimi,Executable,,,InetMgr.exe,,Exactly,,,,,,Ignore Signature,,,Internet Information Services,Exactly,IIS Manager,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy For HazineVeYatirimBankaciligiRezilyansYonetimi,Admin Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Information Services,,,,,,,,,,,,,,,,,,,,,,No,
Application Policy For HazineVeYatirimBankaciligiRezilyansYonetimi,Admin Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Information Services (IIS) Management,,,,,,,,,,,,,,,,,,,,,,No,
Shared Management Policy_File Permission,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
Shared Management Policy_File Permission,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTP DT Accounting Manager OPT Riskturk,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpReportServer,,,,,,,No,
