Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Application Permission For Servis Kontrol Center,Admin Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Information Services (IIS) Management,,,,,,,,,,,,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‪C:\FailoverClusterManager,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\LunaClient,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Cisco,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\wwwroot,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\logs,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\history,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\wwwroot\CVP,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\logs\LogFiles\W3SVC1,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\wwwroot\CVP\GrammarPath,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\inetpub\wwwroot\CVP\GrammarPath\MEHMET_154339.7666.grxml,file,,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Cisco\CVP\VXMLServer\applications\IVR_GarantiEmeklilik_CallSteering\logs\ActivityLog,dir,Yes,,,,,,,,,,,No,
File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Cisco\CVP\VXMLServer\applications\IVR_GarantiEmeklilik_Main\logs\ActivityLog,dir,Yes,,,,,,,,,,,No,
Service Permission Policy for Güvenlik Operasyonları (1),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burpsuiteenterpriseedition_agent,,,,,,,No,
Service Permission Policy for Güvenlik Operasyonları (1),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burpsuiteenterpriseedition_enterpriseserver,,,,,,,No,
Service Permission Policy for Güvenlik Operasyonları (1),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burpsuiteenterpriseedition_webserver,,,,,,,No,
File Permission for Uygulama Servisleri Rezilyans Yönetimi - 2 (2),File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\FailoverClusterManager,dir,Yes,,,,,,,,,,,No,
Copy of File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‪C:\FailoverClusterManager,dir,Yes,,,,,,,,,,,No,
Copy of File Permission Policy for Uygulama Servisleri Rezilyans Yönetimi - 2,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\LunaClient,dir,Yes,,,,,,,,,,,No,
