Policy Type,Policy Name,Priority,Policy Description,Action,Active,All Computers,Selected Computers/Groups,Excluded Computers/Groups,Selected AD Groups,Excluded AD Groups,Users,Activation Option,Activate On,Deactivate On,Scheduled On Day,Scheduled From,Scheduled To,Apply Policy,Check By,URL,Host/IP,Checked Script Name,Collect Policy Usage,Send Policy Automation Events,End-User UI,Trust All Applications,Executed Script Name,Executed Script Triggers,Access,Application Type,Application Description,Security Token,Security Level
Advanced Policy,Birkan_Test,N/A,,Execute Script,Yes,No,,,USR_SRV_GAR_GTAIBulutVeriSaklamaTeknolojileri,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",15:09,,Always,,,,,,,,,C:\Scripts\birkan_test.bat,,,,,,
Advanced Policy,kakao-Execute Script for Güvenlik Teknolojileri ve Yönetişim,N/A,11719755-12183680,Execute Script,Yes,No,PGARAPPGVC01,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",18:22,,Always,,,,,,,,,C:\Scripts\Scripts\scheduler_kakaoP.cmd,,,,,,
Advanced Policy,vmas-Execute Script for Güvenlik Teknolojileri ve Yönetişim,N/A,11719755-12183680-14466552,Execute Script,Yes,No,PGARAPPGVC01,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",18:22,,Always,,,,,,,,,C:\Scripts\Scripts\scheduler_vmasP.cmd,,,,,,
Advanced Policy,Script for Kurumsal Altyapılar Güvenliği,N/A,12148954-,Execute Script,Yes,No,PGARAPPKKO02,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",08:00,,Always,,,,,,,,,C:\Scripts\scheduler-wait-approve_new.cmd,,,,,,
Advanced Policy,Script for GT KG-Kurumsal Altyapılar Güvenliği,N/A,12452649,Execute Script,Yes,No,"PGARAPPFRT01,PGARAPPFRT02",,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",01:00,,Always,,,,,,,,,C:\Scripts\clean.ps1,,,,,,
Advanced Policy,Script for GT KG-Kurumsal Altyapılar Güvenliği (1),N/A,12528707,Execute Script,Yes,No,PGARAPPFRT01,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",01:00,,Always,,,,,,,,,C:\Scripts\cleanPGARAPPFRT01.ps1,,,,,,
Advanced Policy,Script for GT KG-Kurumsal Altyapılar Güvenliği (2),N/A,12528743,Execute Script,Yes,No,PGARAPPFRT02,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",01:00,,Always,,,,,,,,,C:\Scripts\cleanPGARAPPFRT02.ps1,,,,,,
Advanced Policy,Script for Bulut Altyapı ve Veri Saklama Teknolojileri,N/A,12802678 -,Execute Script,Yes,No,PGARKKBHDS01,,,,,Now,,,,,,Always,,,,,,,,,C:\Scripts\12802678\snap_deneme_v2.ps1,,,,,,
Advanced Policy,Script for Bulut Altyapı ve Veri Saklama Teknolojileri (1),N/A,12802678 -,Execute Script,Yes,No,PGARKKBHDS01,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",10:20,,Always,,,,,,,,,C:\Scripts\12802678\snap_deneme_v2.ps1,,,,,,
Advanced Policy,Script for Bulut Altyapı ve Veri Saklama Teknolojileri (2),N/A,12802678 -,Execute Script,Yes,No,PGARKKBHDS01,,,,,Now,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",12:00,,Always,,,,,,,,,C:\Scripts\12802678\snap_deneme_v2.ps1,,,,,,
