Policy Name,Application Type,Location,File Name,NameName,Original File Name,File Name Compare As,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
New_ISM - POLICY,Executable,,taskmgr.exe,taskmgr.exe,,Exactly,,,,,Specific Publishers,Microsoft Windows,Exactly,Microsoft® Windows® Operating System,Exactly,Task Manager,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
New_ISM - POLICY,Executable,,mmc.exe,Device Managerden driver silmek icin verilmistir.,,Exactly,,,"""C:\Windows\system32\compmgmt.msc"" /s",Exactly,Specific Publishers,Microsoft Windows,Exactly,Microsoft® Windows® Operating System,Exactly,Microsoft Management Console,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,Device Managerden driver silmek icin verilmistir.
New_ISM - POLICY,Admin Tasks,,,"Accessibility, Keyboard, Mouse, Sound, Speech",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Accessibility, Keyboard, Mouse, Sound, Speech",,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Date and Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date and Time,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,"Display, Colors, Fonts, Visual Effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Display, Colors, Fonts, Visual Effects",,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Regional and Language Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regional and Language Options,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Add/Remove Printers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Add/Remove Printers,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Disk Defragmenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disk Defragmenter,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Disk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disk Management,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hardware,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Power Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Options,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,System Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System Properties,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Windows Search Indexing Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Search Indexing Options,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,.NET Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.NET Configuration,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Application Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Application Server,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Authorization Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authorization Manager,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Certificate Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Certificate Services,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Certificate Templates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Certificate Templates,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Certificates snap-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Certificates snap-in,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Device Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Device Manager,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,DHCP Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHCP Manager,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Disk Defragmenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disk Defragmenter,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Disk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disk Management,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Distributed File System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributed File System,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,DNS Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNS Manager,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Event Viewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event Viewer,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,Fax Service Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fax Service Manager,,,,,,,,,,,,,,,,,,,,,,No,
New_ISM - POLICY,Admin Tasks,,,File Server Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File Server Management,,,,,,,,,,,,,,,,,,,,,,No,
