AdminPolicyName,AdminApplicationName,AdminType,AdminPath,AdminPathType,AdminCLSID,AdminCommandLine,CMDMatchCase,CMDMatchType,AdminPublisher,AdminPubType,AdminPubMatchCase,AdminProduct,AdminProdMatchCase,AdminProdType,AdminServiceDisName,,,,,,
Admin Tasks,Internet Information Services (IIS) Management,Executable,%SystemRoot%\system32\inetsrv\inetmgr.exe,Contains,,,,,Microsoft Windows,Contains,Yes,IIS Manager,No,Contains,,,,,,,
Admin Tasks,Add/Remove Programs and Windows Features,COMClass,,,{FCC74B77-EC3E-4DD8-A80B-008A702075A9},,,,,,,,,,,,,,,,
Admin Tasks,Internet Information Services,,,,,,,,,,,,,,,,,,,,
Admin Tasks,Disk Management,ManagementConsoleSnapin,%SystemRoot%\System32\diskmgmt.msc,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,.NET Configuration,Executable,((.*)|(dot))netfx.*\.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Application Server,Executable,%SystemRoot%\system32\inetsrv\appcmd.exe,Contains,,,,,Microsoft Windows,Contains,Yes,Application Server Command Line Admin Tool,No,Contains,,,,,,,
Admin Tasks,Authorization Manager,ManagementConsoleSnapin,%SystemRoot%\system32\azman.msc,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Certificate Services,ManagementConsoleSnapin,%SystemRoot%\SYSTEM32\CERTSRV.MSC,Contains,,"C:\Windows\system32\mmc.exe ""C:\Windows\system32\certsrv.msc""",No,Contains,Microsoft Windows,Contains,Yes,,,,,,,,,,
Admin Tasks,Certificate Templates,ManagementConsoleSnapin,%SystemRoot%\SYSTEM32\CERTTMPL.MSC,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Certificates snap-in,ManagementConsoleSnapin,%SystemRoot%\system32\certmgr.msc,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Device Manager,ManagementConsoleSnapin,%SystemRoot%\System32\devmgmt.msc,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,DHCP Manager,ManagementConsoleSnapin,%SystemRoot%\system32\dhcpmgmt.msc,Contains,,"C:\Windows\system32\mmc.exe ""C:\Windows\system32\dhcpmgmt.msc""",No,Contains,Microsoft Windows,Contains,Yes,,,,,,,,,,
Admin Tasks,Disk Defragmenter,Executable,%SystemRoot%\System32\dfrgui.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Distributed File System,ManagementConsoleSnapin,%SystemRoot%\System32\dfsmgmt.msc,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,DNS Manager,Executable,%SystemRoot%\System32\ipconfig.exe,Contains,,/registerdns,No,Contains,,,,,,,,,,,,,
Admin Tasks,Event Viewer,Executable,%SystemRoot%\System32\eventvwr.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Fax Service Manager,Executable,%SystemRoot%\System32\FXSUNATD.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,File Server Management,ManagementConsoleSnapin,%SystemRoot%\system32\fsrm.msc,Contains,,C:\Windows\system32\mmc.exe C:\Windows\system32\fsrm.msc,No,Contains,Microsoft Windows,Contains,Yes,,,,,,,,,,
Admin Tasks,Group Policy Editor,ManagementConsoleSnapin,%SystemRoot%\System32\gpedit.msc,Contains,,C:\Windows\system32\mmc.exe C:\Windows\system32\gpmc.msc,No,Contains,Microsoft Windows,Contains,Yes,,,,,,,,,,
Admin Tasks,Hyper-V Manager,ManagementConsoleSnapin,%ProgramFiles%\Hyper-V\virtmgmt.msc,Contains,,"C:\Windows\system32\mmc.exe ""C:\Program Files\Hyper-V\virtmgmt.msc""",No,Contains,,,,,,,,,,,,,
